Listening to port 4567
Connected!!!
0.1 259.279 28.2217 6.21435
0.1 260.375 27.9402 6.19139
0.1 260.405 28.0219 6.17299
0.1 261.226 28.0837 6.14263
0.1 262.058 27.7745 6.11091
0.1 262.697 27.3277 6.09322
0.1 263.438 27.1676 6.06771
0.1 264.223 27.1452 6.04134
0.1 264.836 27.0802 5.99774
0.1 265.68 26.8038 5.9737
0.1 266.04 26.7934 5.94503
0.1 267.065 26.7157 5.90325
0.1 267.813 26.3594 5.8744
0.1 268.376 25.7746 5.84824
0.1 269.35 25.6559 5.81781
0.1 269.787 25.3812 5.7886
0.1 270.201 24.7854 5.76457
0.1 270.77 24.1964 5.73198
0.1 271.135 23.9413 5.69513
0.1 272.207 23.8553 5.66586
0.1 272.392 23.2356 5.6364
0.1 273.129 22.8484 5.5837
0.1 273.597 21.9014 5.55096
0.1 273.925 21.4791 5.50793
0.1 274.177 20.843 5.46941
0.1 274.898 20.4492 5.44736
0.1 275.492 19.8941 5.42658
0.1 275.652 19.2571 5.38223
0.1 276.204 18.6857 5.35116
0.1 276.431 18.491 5.31764
0.1 276.966 17.258 5.26862
0.1 277.236 16.2866 5.24014
0.1 277.655 16.0187 5.22645
0.1 278.012 16.0274 5.19819
0.1 277.957 15.1529 5.18046
0.1 278.761 14.5236 5.1481
0.1 278.913 13.9906 5.10506
0.1 278.865 13.12 5.07404
0.1 279.192 12.4808 5.04767
0.1 279.38 11.3537 5.01695
0.1 279.74 10.4879 4.9864
0.1 279.926 9.93328 4.94612
0.1 279.805 9.06062 4.8986
0.1 279.856 8.31366 4.86864
0.1 280.165 7.7244 4.84144
0.1 280.12 7.10073 4.80777
0.1 280.032 6.51155 4.77573
0.1 279.74 5.58844 4.7283
0.1 280.199 4.81524 4.7098
0.1 280.006 4.18441 4.67974
0.1 280.173 3.29697 4.65633
0.1 280.01 2.44886 4.61972
0.1 279.912 1.92851 4.58689
0.1 279.78 0.958172 4.56066
0.1 279.757 0.43643 4.51904
0.1 278.988 -0.429461 4.48429
0.1 278.772 -1.2267 4.46417
0.1 278.842 -1.8339 4.42373
0.1 278.524 -2.43178 4.40726
0.1 278.284 -3.12578 4.36657
0.1 278.274 -3.98016 4.34748
0.1 277.599 -4.86951 4.32392
0.1 277.409 -5.81308 4.28739
0.1 276.991 -6.11456 4.24905
0.1 276.517 -6.98817 4.20628
0.1 276.119 -7.18014 4.19855
0.1 275.707 -7.86449 4.15465
0.1 275.228 -8.87851 4.12543
0.1 274.733 -9.66115 4.10309
0.1 273.816 -10.2959 4.07347
0.1 273.263 -11.1649 4.03352
0.1 272.629 -11.4813 4.0109
0.1 272.201 -12.4264 3.97831
0.1 271.76 -12.6737 3.95934
0.1 271.258 -13.4458 3.92557
0.1 270.077 -13.9208 3.88668
0.1 269.884 -14.5791 3.8537
0.1 269.114 -14.8739 3.82836
0.1 268.492 -15.2216 3.7973
0.1 267.474 -15.5605 3.76424
0.1 267.011 -16.2231 3.7336
0.1 266.439 -16.589 3.70209
0.1 265.883 -17.1439 3.6733
0.1 265.236 -17.7062 3.639
0.1 264.795 -17.8957 3.62026
0.1 263.887 -18.2881 3.58197
0.1 262.839 -18.5016 3.52704
0.1 261.914 -18.6053 3.50185
0.1 261.246 -18.6327 3.44953
0.1 260.488 -19.584 3.42441
0.1 259.28 -19.3794 3.38015
0.1 258.519 -19.6167 3.33308
0.1 257.682 -19.367 3.30634
0.1 256.736 -19.6368 3.26591
0.1 255.973 -19.6917 3.22918
0.1 254.499 -19.2228 3.18953
0.1 253.368 -19.6258 3.14392
0.1 252.28 -19.35 3.12133
0.1 252.081 -19.7864 3.08889
0.1 251.213 -19.6607 3.06048
